Row/Rack,PDU1 IP,PDU2 IP
R01R01,100.119.12.11,100.119.13.11
R01R02,100.119.12.12,100.119.13.12
R01R03,100.119.12.13,100.119.13.13
R01R04,100.119.12.14,100.119.13.14
R01R05,100.119.12.15,100.119.13.15
R01R06,100.119.12.16,100.119.13.16
R01R07,100.119.12.17,100.119.13.17
R01R08,100.119.12.18,100.119.13.18
R01R09,100.119.12.19,100.119.13.19
R01R10,100.119.12.20,100.119.13.20
R01R11,100.119.12.21,100.119.13.21
R01R12,100.119.12.22,100.119.13.22
R01R13,100.119.12.23,100.119.13.23
R01R14,100.119.12.24,100.119.13.24
R01R15,100.119.12.25,100.119.13.25
R01R16,100.119.12.26,100.119.13.26
R020R1,100.119.12.27,100.119.13.27
R020R2,100.119.12.28,100.119.13.28
R020R3,100.119.12.29,100.119.13.29
R020R4,100.119.12.30,100.119.13.30
R020R5,100.119.12.31,100.119.13.31
R020R6,100.119.12.32,100.119.13.32
R020R7,100.119.12.33,100.119.13.33
R020R8,100.119.12.34,100.119.13.34
R020R9,100.119.12.35,100.119.13.35
R020R10,100.119.12.36,100.119.13.36
R020R11,100.119.12.37,100.119.13.37
R020R12,100.119.12.38,100.119.13.38
R020R13,100.119.12.39,100.119.13.39
R020R14,100.119.12.40,100.119.13.40
R020R15,100.119.12.41,100.119.13.41
R020R16,100.119.12.42,100.119.13.42
R03R01,100.119.12.43,100.119.13.43
R03R02,100.119.12.44,100.119.13.44
R03R03,100.119.12.45,100.119.13.45
R03R04,100.119.12.46,100.119.13.46
R03R05,100.119.12.47,100.119.13.47
R03R06,100.119.12.48,100.119.13.48
R03R07,100.119.12.49,100.119.13.49
R03R08,100.119.12.50,100.119.13.50
R03R09,100.119.12.51,100.119.13.51
R03R10,100.119.12.52,100.119.13.52
R03R11,100.119.12.53,100.119.13.53
R03R12,100.119.12.54,100.119.13.54
R03R13,100.119.12.55,100.119.13.55
R03R14,100.119.12.56,100.119.13.56
R03R15,100.119.12.57,100.119.13.57
R03R16,100.119.12.58,100.119.13.58
R04R01,100.119.12.59,100.119.13.59
R04R02,100.119.12.60,100.119.13.60
R04R03,100.119.12.61,100.119.13.61
R04R04,100.119.12.62,100.119.13.62
R04R05,100.119.12.63,100.119.13.63
R04R06,100.119.12.64,100.119.13.64
R04R07,100.119.12.65,100.119.13.65
R04R08,100.119.12.66,100.119.13.66
R04R09,100.119.12.67,100.119.13.67
R04R10,100.119.12.68,100.119.13.68
R04R11,100.119.12.69,100.119.13.69
R04R12,100.119.12.70,100.119.13.70
R04R13,100.119.12.71,100.119.13.71
R04R14,100.119.12.72,100.119.13.72
R04R15,100.119.12.73,100.119.13.73
R04R16,100.119.12.74,100.119.13.74
R05R01,100.119.12.75,100.119.13.75
R05R02,100.119.12.76,100.119.13.76
R05R03,100.119.12.77,100.119.13.77
R05R04,100.119.12.78,100.119.13.78
R05R05,100.119.12.79,100.119.13.79
R05R06,100.119.12.80,100.119.13.80
R05R07,100.119.12.81,100.119.13.81
R05R08,100.119.12.82,100.119.13.82
R05R09,100.119.12.83,100.119.13.83
R05R10,100.119.12.84,100.119.13.84
R05R11,100.119.12.85,100.119.13.85
R05R12,100.119.12.86,100.119.13.86
R05R13,100.119.12.87,100.119.13.87
R05R14,100.119.12.88,100.119.13.88
R05R15,100.119.12.89,100.119.13.89
R05R16,100.119.12.90,100.119.13.90
R06R01,100.119.12.91,100.119.13.91
R06R02,100.119.12.92,100.119.13.92
R06R03,100.119.12.93,100.119.13.93
R06R04,100.119.12.94,100.119.13.94
R06R05,100.119.12.95,100.119.13.95
R06R06,100.119.12.96,100.119.13.96
R06R07,100.119.12.97,100.119.13.97
R06R08,100.119.12.98,100.119.13.98
R06R09,100.119.12.99,100.119.13.99
R06R10,100.119.12.100,100.119.13.100
R06R11,100.119.12.101,100.119.13.101
R06R12,100.119.12.102,100.119.13.102
R06R13,100.119.12.103,100.119.13.103
R06R14,100.119.12.104,100.119.13.104
R06R15,100.119.12.105,100.119.13.105
R06R16,100.119.12.106,100.119.13.106
R07R01,100.119.12.107,100.119.13.107
R07R02,100.119.12.108,100.119.13.108
R07R03,100.119.12.109,100.119.13.109
R07R04,100.119.12.110,100.119.13.110
R07R05,100.119.12.111,100.119.13.111
R07R06,100.119.12.112,100.119.13.112
R07R07,100.119.12.113,100.119.13.113
R07R08,100.119.12.114,100.119.13.114
R07R09,100.119.12.115,100.119.13.115
R07R10,100.119.12.116,100.119.13.116
R07R11,100.119.12.117,100.119.13.117
R07R12,100.119.12.118,100.119.13.118
R07R13,100.119.12.119,100.119.13.119
R07R14,100.119.12.120,100.119.13.120
R07R15,100.119.12.121,100.119.13.121
R07R16,100.119.12.122,100.119.13.122
R08R01,100.119.12.123,100.119.13.123
R08R02,100.119.12.124,100.119.13.124
R08R03,100.119.12.125,100.119.13.125
R08R04,100.119.12.126,100.119.13.126
R08R05,100.119.12.127,100.119.13.127
R08R06,100.119.12.128,100.119.13.128
R08R07,100.119.12.129,100.119.13.129
R08R08,100.119.12.130,100.119.13.130
R08R09,100.119.12.131,100.119.13.131
R08R10,100.119.12.132,100.119.13.132
R08R11,100.119.12.133,100.119.13.133
R08R12,100.119.12.134,100.119.13.134
R08R13,100.119.12.135,100.119.13.135
R08R14,100.119.12.136,100.119.13.136
R08R15,100.119.12.137,100.119.13.137
R08R16,100.119.12.138,100.119.13.138